novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
霸天武魂,千里牧尘,http://chuangshi.qq.com/bk/xh/13639697.html,连载中,4385494,玄幻,33952,165699,172
龙印徽章,启迪世界,http://chuangshi.qq.com/bk/xh/20544367.html,连载中,173835,玄幻,21050,66796,624
透视极品神医,金帛鲤,http://chuangshi.qq.com/bk/ds/15385590.html,连载中,1866265,都市,35162,86211,636
惊天剑帝,帝剑一,http://chuangshi.qq.com/bk/xh/20504143.html,连载中,296829,玄幻,3944,16717,304
最强盘古大帝,冷风吹心,http://chuangshi.qq.com/bk/kh/20469816.html,连载中,124263,科幻,3421,14826,380
校园全才保镖,落叶知秋o,http://chuangshi.qq.com/bk/ds/727795.html,连载中,2786978,都市,9456,74240,16
星斗至尊,天问1996.CS,http://chuangshi.qq.com/bk/xh/13386557.html,连载中,1428519,玄幻,15416,30580,232
都市小神医,酒中仙人,http://chuangshi.qq.com/bk/ds/13629218.html,连载中,3517638,都市,36788,203099,316
天云武帝,天云风,http://chuangshi.qq.com/bk/xh/17062644.html,连载中,520812,玄幻,1602,12465,16
网游之雷击少年,舌战,http://chuangshi.qq.com/bk/yx/14943203.html,连载中,1535942,游戏,21256,48013,12
魂战圣帝,静止的烟火,http://chuangshi.qq.com/bk/xh/19461004.html,连载中,932725,玄幻,23303,47178,312
超自然灵之幻影,紫鹰雪云,http://chuangshi.qq.com/bk/2cy/20343811.html,连载中,51133,二次元,91,911,32
八荒叙,持琴人,http://chuangshi.qq.com/bk/wx/13512798.html,连载中,2560,武侠,0,0,0
一世神王,三色猫妖,http://chuangshi.qq.com/bk/xh/20235509.html,连载中,289618,玄幻,716,7062,72
穿越之从零开始的网游生活,刚洗完火星,http://chuangshi.qq.com/bk/yx/20508417.html,连载中,144753,游戏,785,5849,52
尘骨,林如渊,http://book.qidian.com/info/1010298084,连载中,39.15万字,玄幻,758700,278400,67424
六迹之梦魇宫,忘语,http://book.qidian.com/info/1010734486,连载中,1.07万字,仙侠,19500,93699,71176
玄界之门,忘语,http://book.qidian.com/info/3676417,连载中,338.88万字,仙侠,7537300,4679500,2904
龙王传说,唐家三少,http://book.qidian.com/info/3681560,连载中,343.34万字,玄幻,7154700,4926600,26476
不朽凡人,鹅是老五,http://book.qidian.com/info/1003307568,连载中,336.4万字,仙侠,7940500,3719300,25668
五行天,方想,http://book.qidian.com/info/3638453,连载中,192.43万字,玄幻,8664500,4199700,3180
武道宗师,爱潜水的乌贼,http://book.qidian.com/info/1004142144,连载中,240.61万字,玄幻,5310300,1695800,19292
